protein_a	protein_b	involves_dark	genetic_assays
Q91VM3	Q9CQY1	1	Negative Genetic
Q16222	Q3KQV9	1	Negative Genetic
P77308	Q47622	1	Positive Genetic
P77171	P77309	1	Negative Genetic
P53823	Q03144	1	Phenotypic Enhancement
P43544	P53823	1	Phenotypic Enhancement
P38150	P40361	1	Synthetic Growth Defect
P37682	P77700	1	Positive Genetic
P37682	P76250	1	Positive Genetic
P37682	P52044	1	Positive Genetic
P37641	P37671	1	Negative Genetic
P37313	P77268	1	Negative Genetic
P36646	P36678	1	Negative Genetic
P27243	P76372	1	Negative Genetic
P23917	P76586	1	Negative Genetic
P0AFH2	Q47622	1	Negative Genetic
P0ACQ7	P77309	1	Positive Genetic
P0ACI0	P77396	1	Positive Genetic
P0ACH5	P31449	1	Negative Genetic
P0AAG0	Q47622	1	Negative Genetic
P0AAA7	P76372	1	Negative Genetic
P09378	P31449	1	Positive Genetic
P09377	P77396	1	Positive Genetic
P07021	P0A910	1	Positive Genetic
Q9VTK2	Q9W5D4	0	Phenotypic Enhancement;Phenotypic Suppression
Q9VQ89	Q9VUB4	0	Phenotypic Suppression
Q9VMA2	Q9W0P5	0	Phenotypic Enhancement
Q9VIW3	Q9VZ23	0	Phenotypic Suppression
Q9VGP6	Q9VTE5	0	Phenotypic Enhancement
Q9VEU5	Q9VEU6	0	Phenotypic Enhancement;Phenotypic Suppression
Q9VDD3	Q9VNK9	0	Phenotypic Suppression
Q9VCE6	Q9VLP7	0	Phenotypic Enhancement
Q9VAY3	Q9W385	0	Phenotypic Enhancement;Phenotypic Suppression
Q9VA70	Q9VIP7	0	Phenotypic Suppression
Q9VA00	Q9VT70	0	Phenotypic Suppression
Q9V4K2	Q9W0M2	0	Phenotypic Enhancement
Q9V427	Q9VAS7	0	Phenotypic Enhancement
Q9V3S9	Q9V3U0	0	Phenotypic Enhancement
Q9V3B4	Q9VXN9	0	Phenotypic Suppression
Q9UFF9	Q9UIV1	0	Negative Genetic
Q9UBS0	Q9Y243	0	Negative Genetic
Q9SIL6	Q9ZNT7	0	Synthetic Growth Defect
Q9SAH7	Q9SK33	0	Phenotypic Enhancement
Q9P0J6	Q9Y6G3	0	Positive Genetic
Q9NZ32	Q9UJW0	0	Negative Genetic
Q9NY97	Q9Y2A9	0	Negative Genetic
Q9NWU5	Q9Y3D3	0	Positive Genetic
Q9NWU5	Q9P0J6	0	Positive Genetic
Q9NWA0	Q9ULK4	0	Negative Genetic
Q9NW82	Q9UNP9	0	Negative Genetic
Q9NW08	Q9Y5Q9	0	Negative Genetic
Q9NW08	Q9UHW5	0	Negative Genetic
Q9NVP2	Q9Y294	0	Negative Genetic;Synthetic Lethality
Q9NT62	Q9Y4P8	0	Phenotypic Enhancement
Q9NRF9	Q9NRG0	0	Positive Genetic
Q9NR31	Q9Y6B6	0	Negative Genetic
Q9NHX0	Q9W5E1	0	Phenotypic Suppression
Q9HAU4	Q9HCE7	0	Negative Genetic
Q9H9Q2	Q9UBW8	0	Synthetic Lethality
Q9H0Y0	Q9Y4P8	0	Phenotypic Enhancement
Q9GZS3	Q9Y450	0	Negative Genetic
Q9GYU8	Q9TVM2	0	Phenotypic Suppression
Q9GU68	Q9V9U4	0	Phenotypic Enhancement
Q9FVC1	Q9SXZ2	0	Phenotypic Enhancement
Q9EPK6	Q9JKR6	0	Dosage Rescue;Synthetic Haploinsufficiency
Q9D906	Q9Z2X8	0	Phenotypic Enhancement
Q9CQY1	Q9D906	0	Positive Genetic
Q9CQY1	Q9D8Z6	0	Positive Genetic
Q9CPX6	Q9CQY1	0	Positive Genetic
Q9CAP8	Q9T0A0	0	Phenotypic Enhancement
Q9C9U2	Q9LMT0	0	Synthetic Lethality
Q9C5X3	Q9SVC2	0	Dosage Growth Defect
Q9C5U1	Q9C5U2	0	Phenotypic Enhancement;Synthetic Growth Defect
Q9C5U0	Q9C5U2	0	Synthetic Growth Defect
Q9C5U0	Q9C5U1	0	Synthetic Growth Defect
Q9BZQ4	Q9HAN9	0	Negative Genetic
Q9BZE1	Q9Y2Q9	0	Positive Genetic
Q9BY41	Q9BZK7	0	Positive Genetic
Q9BVP2	Q9NVN8	0	Negative Genetic
Q9BUZ4	Q9HCE7	0	Phenotypic Suppression
Q9BSM1	Q9BYE7	0	Negative Genetic;Phenotypic Enhancement
Q9BSB4	Q9NT62	0	Phenotypic Enhancement
Q9BSB4	Q9H0Y0	0	Phenotypic Enhancement
Q9BS18	Q9UJX2	0	Negative Genetic
Q9BS16	Q9NSP4	0	Negative Genetic
Q9BRY0	Q9NUM3	0	Positive Genetic
Q9BQC6	Q9P0M9	0	Positive Genetic
Q99J83	Q9CQY1	0	Positive Genetic
Q99836	Q9Y4K3	0	Phenotypic Suppression
Q99836	Q9NPH3	0	Phenotypic Suppression
Q99570	Q9NT62	0	Phenotypic Enhancement
Q99570	Q9H0Y0	0	Phenotypic Enhancement
Q99547	Q9NPD3	0	Negative Genetic
Q96QG7	Q9Y217	0	Negative Genetic
Q96QG7	Q9Y216	0	Negative Genetic
Q96Q05	Q9UL33	0	Negative Genetic
Q96FW1	Q9HBL8	0	Phenotypic Suppression
Q96CJ1	Q96JC9	0	Negative Genetic
Q96BR1	Q9HBY8	0	Negative Genetic
Q96BP3	Q9Y3C6	0	Negative Genetic
Q95RA8	Q9NBK5	0	Phenotypic Enhancement;Phenotypic Suppression
Q94JQ6	Q9SNC3	0	Synthetic Growth Defect
Q94F62	Q9FL28	0	Phenotypic Suppression
Q94F62	Q9ASS4	0	Synthetic Rescue
Q94AH6	Q9SKK0	0	Phenotypic Enhancement
Q940H6	Q9FNB0	0	Phenotypic Suppression
Q93050	Q9Y487	0	Negative Genetic
Q92993	Q9H7Z6	0	Negative Genetic
Q92979	Q9NPD3	0	Negative Genetic
Q92830	Q92831	0	Negative Genetic
Q92759	Q9NVC6	0	Negative Genetic
Q91YW3	Q9EPK6	0	Synthetic Rescue
Q8WZ19	Q9H3F6	0	Negative Genetic
Q8WYA6	Q9UNP9	0	Positive Genetic
Q8WYA6	Q9NW64	0	Positive Genetic
Q8WTR2	Q99683	0	Phenotypic Enhancement
Q8TBC4	Q92905	0	Positive Genetic
Q8T045	Q9V6X7	0	Phenotypic Enhancement
Q8R1P4	Q9CQY1	0	Positive Genetic
Q8NHZ8	Q9BS18	0	Negative Genetic
Q8NFH3	Q9BW27	0	Negative Genetic
Q8NFH3	Q96EE3	0	Negative Genetic
Q8NEB9	Q9NT62	0	Phenotypic Enhancement
Q8NEB9	Q9H0Y0	0	Phenotypic Enhancement
Q8NBT0	Q8TC44	0	Negative Genetic
Q8N983	Q9Y3D9	0	Positive Genetic
Q8N5L8	Q9BUL9	0	Negative Genetic
Q8N0V5	Q9NY97	0	Positive Genetic
Q8IUR0	Q9UL33	0	Positive Genetic
Q8IUR0	Q9H0U4	0	Positive Genetic
Q8IQF1	Q9VRA2	0	Phenotypic Enhancement
Q8CDJ3	Q9CQY1	0	Positive Genetic
Q8C0J2	Q9CQY1	0	Positive Genetic
Q86Y38	Q9H1B5	0	Negative Genetic
Q86X55	Q99873	0	Negative Genetic;Phenotypic Enhancement
Q86VP6	Q969H0	0	Negative Genetic
Q86VP6	Q93034	0	Positive Genetic
Q86UE8	Q9UKI8	0	Negative Genetic
Q86TM6	Q9UKV5	0	Phenotypic Suppression
Q86SE9	Q9BYE7	0	Phenotypic Enhancement
Q86SE9	Q9BSM1	0	Negative Genetic
Q80W47	Q9CQY1	0	Positive Genetic
Q7Z7H8	Q9Y6G3	0	Positive Genetic
Q7Z7H8	Q9P0J6	0	Positive Genetic
Q7Z7H8	Q9NX20	0	Positive Genetic
Q7Z7H8	Q9NWU5	0	Positive Genetic
Q7Z7E8	Q8WVN8	0	Negative Genetic
Q7Z3C6	Q9NT62	0	Phenotypic Enhancement
Q7Z3B4	Q8NFH3	0	Negative Genetic
Q7Z392	Q9UL33	0	Positive Genetic
Q7Z020	Q9VM08	0	Phenotypic Enhancement;Phenotypic Suppression
Q7YU24	Q94920	0	Phenotypic Suppression
Q7XJ98	Q9CA75	0	Phenotypic Suppression
Q7LBR1	Q9HD42	0	Negative Genetic
Q7KU86	Q9VLJ8	0	Phenotypic Enhancement
Q7KRW1	Q9XZ58	0	Phenotypic Suppression;Synthetic Rescue
Q7KNS3	Q9VT70	0	Phenotypic Suppression
Q7KN62	Q9VQ57	0	Phenotypic Enhancement;Phenotypic Suppression
Q7KN62	Q95SP2	0	Phenotypic Enhancement
Q708Y0	Q94AH6	0	Phenotypic Enhancement
Q6ZNE5	Q9NT62	0	Phenotypic Enhancement
