arm,branch,bin,n_proteins,fmax,threshold
A,molecular_function,lt30,243,0.2970,0.01
B,molecular_function,lt30,243,0.3771,0.47
A,molecular_function,30to50,1786,0.4925,0.27
B,molecular_function,30to50,1786,0.4361,0.75
A,molecular_function,50to80,2091,0.6130,0.45
B,molecular_function,50to80,2091,0.4773,0.86
A,molecular_function,ge80,2190,0.6764,0.70
B,molecular_function,ge80,2190,0.5865,0.90
A,biological_process,lt30,286,0.2371,0.22
B,biological_process,lt30,286,0.2557,0.25
A,biological_process,30to50,1819,0.3545,0.28
B,biological_process,30to50,1819,0.3036,0.79
A,biological_process,50to80,2087,0.4456,0.50
B,biological_process,50to80,2087,0.3398,0.87
A,biological_process,ge80,2091,0.4754,0.64
B,biological_process,ge80,2091,0.3999,0.90
A,cellular_component,lt30,301,0.3353,0.01
B,cellular_component,lt30,301,0.4057,0.25
A,cellular_component,30to50,1952,0.5043,0.28
B,cellular_component,30to50,1952,0.4479,0.73
A,cellular_component,50to80,2250,0.5994,0.45
B,cellular_component,50to80,2250,0.4632,0.87
A,cellular_component,ge80,2334,0.6601,0.65
B,cellular_component,ge80,2334,0.5763,0.88
