arm,branch,bin,n_proteins,fmax,threshold
A,molecular_function,lt30,243,0.2970,0.01
B,molecular_function,lt30,243,0.3771,0.47
S,molecular_function,lt30,243,0.3771,0.47
D,molecular_function,lt30,243,0.5103,0.37
C,molecular_function,lt30,243,0.5019,0.71
A,molecular_function,30to50,1786,0.4925,0.27
B,molecular_function,30to50,1786,0.4361,0.75
S,molecular_function,30to50,1786,0.4361,0.75
D,molecular_function,30to50,1786,0.6375,0.49
C,molecular_function,30to50,1786,0.6365,0.64
A,molecular_function,50to80,2091,0.6130,0.45
B,molecular_function,50to80,2091,0.4773,0.86
S,molecular_function,50to80,2091,0.4773,0.86
D,molecular_function,50to80,2091,0.6765,0.45
C,molecular_function,50to80,2091,0.6876,0.73
A,molecular_function,ge80,2190,0.6764,0.70
B,molecular_function,ge80,2190,0.5865,0.90
S,molecular_function,ge80,2190,0.5303,0.88
D,molecular_function,ge80,2190,0.6785,0.44
C,molecular_function,ge80,2190,0.6764,0.70
A,biological_process,lt30,286,0.2371,0.22
B,biological_process,lt30,286,0.2557,0.25
S,biological_process,lt30,286,0.2491,0.44
D,biological_process,lt30,286,0.4106,0.30
C,biological_process,lt30,286,0.4134,0.50
A,biological_process,30to50,1819,0.3545,0.28
B,biological_process,30to50,1819,0.3036,0.79
S,biological_process,30to50,1819,0.3036,0.79
D,biological_process,30to50,1819,0.4821,0.38
C,biological_process,30to50,1819,0.4882,0.59
A,biological_process,50to80,2087,0.4456,0.50
B,biological_process,50to80,2087,0.3398,0.87
S,biological_process,50to80,2087,0.3398,0.87
D,biological_process,50to80,2087,0.4811,0.35
C,biological_process,50to80,2087,0.5181,0.68
A,biological_process,ge80,2091,0.4754,0.64
B,biological_process,ge80,2091,0.3999,0.90
S,biological_process,ge80,2091,0.3689,0.88
D,biological_process,ge80,2091,0.4918,0.31
C,biological_process,ge80,2091,0.4754,0.64
A,cellular_component,lt30,301,0.3353,0.01
B,cellular_component,lt30,301,0.4057,0.25
S,cellular_component,lt30,301,0.3961,0.14
D,cellular_component,lt30,301,0.5323,0.38
C,cellular_component,lt30,301,0.5294,0.64
A,cellular_component,30to50,1952,0.5043,0.28
B,cellular_component,30to50,1952,0.4479,0.73
S,cellular_component,30to50,1952,0.4479,0.73
D,cellular_component,30to50,1952,0.6426,0.40
C,cellular_component,30to50,1952,0.6430,0.65
A,cellular_component,50to80,2250,0.5994,0.45
B,cellular_component,50to80,2250,0.4632,0.87
S,cellular_component,50to80,2250,0.4632,0.87
D,cellular_component,50to80,2250,0.6760,0.48
C,cellular_component,50to80,2250,0.6897,0.72
A,cellular_component,ge80,2334,0.6601,0.65
B,cellular_component,ge80,2334,0.5763,0.88
S,cellular_component,ge80,2334,0.5310,0.88
D,cellular_component,ge80,2334,0.6800,0.42
C,cellular_component,ge80,2334,0.6601,0.65
