accession	go_term	branch	confidence	arm	outcome	source
A0A075B6T8	GO:0005515	molecular_function	0.3160	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A075B6T8	GO:0038023	molecular_function	0.3040	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A087WRI3	GO:0005515	molecular_function	0.7780	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A096LP55	GO:0005515	molecular_function	0.9670	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A096LP55	GO:0008121	molecular_function	0.9670	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0B4K6F9	GO:0005509	molecular_function	0.4200	SS	supported	GOA-timesplit-2023-07-12
A0A0B4K6F9	GO:0019905	molecular_function	0.4200	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0B4K6F9	GO:0004674	molecular_function	0.3610	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0B4KGE4	GO:0042803	molecular_function	0.3080	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0B4KGP4	GO:0005515	molecular_function	0.3370	SS	supported	GOA-timesplit-2023-07-12
A0A0B4KI23	GO:0008010	molecular_function	0.3330	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0B4LF36	GO:0005515	molecular_function	0.4000	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0U1RNF2	GO:0005515	molecular_function	0.8800	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0U1RNF2	GO:0018423	molecular_function	0.8800	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A0U1RNF2	GO:0008175	molecular_function	0.3700	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178UQA6	GO:0017171	molecular_function	0.6697	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178UQA6	GO:0008474	molecular_function	0.4277	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178UQA6	GO:0004622	molecular_function	0.4240	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178URU8	GO:0003729	molecular_function	0.4340	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178URU8	GO:0004672	molecular_function	0.4060	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178URU8	GO:0005515	molecular_function	0.3590	SS	supported	GOA-timesplit-2023-07-12
A0A178V7N9	GO:0001165	molecular_function	0.5000	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178V7N9	GO:0001181	molecular_function	0.5000	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178V7N9	GO:0005515	molecular_function	0.3920	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178VBH8	GO:0005515	molecular_function	0.6280	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178VBH8	GO:0004672	molecular_function	0.5320	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178VBH8	GO:0004675	molecular_function	0.3240	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178VWR3	GO:0004849	molecular_function	0.6576	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178VWR3	GO:0043771	molecular_function	0.6520	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178VWR3	GO:0042802	molecular_function	0.6506	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178W0K0	GO:0003677	molecular_function	0.4120	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A178W0K0	GO:0003729	molecular_function	0.4120	SS	supported	GOA-timesplit-2023-07-12
A0A178W0K0	GO:0042802	molecular_function	0.4120	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LLN7	GO:0008475	molecular_function	0.4266	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LLN7	GO:0005506	molecular_function	0.4120	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LLN7	GO:0005515	molecular_function	0.4120	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LMD5	GO:0004672	molecular_function	0.6050	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LMD5	GO:0005515	molecular_function	0.6050	SS	supported	GOA-timesplit-2023-07-12
A0A1I9LMD5	GO:0004674	molecular_function	0.4750	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LNL3	GO:0042802	molecular_function	0.7565	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LNL3	GO:0004090	molecular_function	0.7502	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LNL3	GO:0030554	molecular_function	0.7459	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LQ21	GO:0051377	molecular_function	0.3890	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LR69	GO:0009044	molecular_function	0.4710	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LRU1	GO:0009702	molecular_function	0.7080	SS	supported	GOA-timesplit-2023-07-12
A0A1I9LSE1	GO:0047372	molecular_function	0.8240	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LSE1	GO:0003846	molecular_function	0.3840	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LSE1	GO:0004622	molecular_function	0.3840	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LSH2	GO:0005515	molecular_function	0.3070	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LSH2	GO:0043022	molecular_function	0.3070	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LTC7	GO:0008661	molecular_function	0.7880	SS	supported	GOA-timesplit-2023-07-12
A0A1I9LTC7	GO:0042802	molecular_function	0.7880	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LTS6	GO:0005515	molecular_function	0.3600	SS	supported	GOA-timesplit-2023-07-12
A0A1I9LTS6	GO:0033919	molecular_function	0.3600	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1I9LTS6	GO:0003723	molecular_function	0.3560	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1L1SR47	GO:0005295	molecular_function	0.3290	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1L1SR47	GO:0005298	molecular_function	0.3290	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1L1SR47	GO:0005515	molecular_function	0.3290	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1L1SUI3	GO:0005515	molecular_function	0.8860	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1L1SUI3	GO:0061513	molecular_function	0.8860	SS	supported	GOA-timesplit-2023-07-12
A0A1P8AM23	GO:0005515	molecular_function	0.6146	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AM23	GO:0140677	molecular_function	0.6146	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AM23	GO:0016667	molecular_function	0.5351	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AM88	GO:0004190	molecular_function	0.4000	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AMH3	GO:0003865	molecular_function	0.3180	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AMH3	GO:0009055	molecular_function	0.3180	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ANQ6	GO:0005216	molecular_function	0.6947	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ANQ6	GO:0005515	molecular_function	0.6936	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AP52	GO:0003729	molecular_function	0.3040	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AP52	GO:0005432	molecular_function	0.3040	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AP52	GO:0005509	molecular_function	0.3040	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8APL9	GO:0005515	molecular_function	0.5560	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8APL9	GO:0008236	molecular_function	0.5560	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8APL9	GO:0106435	molecular_function	0.4710	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AQU0	GO:0005515	molecular_function	0.6766	SS	supported	GOA-timesplit-2023-07-12
A0A1P8AQU0	GO:0046983	molecular_function	0.5564	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AQU0	GO:0019789	molecular_function	0.4985	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ART1	GO:0050664	molecular_function	0.6550	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ART1	GO:0010283	molecular_function	0.4390	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ASB9	GO:0004675	molecular_function	0.5100	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ASB9	GO:0005515	molecular_function	0.4970	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ASB9	GO:0042803	molecular_function	0.4300	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ASI5	GO:0004674	molecular_function	0.5360	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ASI5	GO:0005515	molecular_function	0.5360	SS	supported	GOA-timesplit-2023-07-12
A0A1P8ASI5	GO:0015026	molecular_function	0.4670	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AT27	GO:0005515	molecular_function	0.5020	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AT27	GO:0140376	molecular_function	0.3000	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AT92	GO:0003729	molecular_function	0.7520	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ATM6	GO:0043425	molecular_function	0.6307	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8ATM6	GO:0003682	molecular_function	0.3032	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AU61	GO:0004810	molecular_function	0.7088	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AU61	GO:0005515	molecular_function	0.7088	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AU61	GO:0052927	molecular_function	0.7088	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AUJ8	GO:0003729	molecular_function	0.6819	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AUJ8	GO:0005515	molecular_function	0.6277	SS	supported	GOA-timesplit-2023-07-12
A0A1P8AUJ8	GO:0003690	molecular_function	0.5778	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AVN7	GO:0004674	molecular_function	0.4580	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AVQ6	GO:0005515	molecular_function	0.8740	SS	supported	GOA-timesplit-2023-07-12
A0A1P8AVQ6	GO:0042803	molecular_function	0.5220	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AVQ6	GO:0004672	molecular_function	0.4680	SS	supported	GOA-timesplit-2023-07-12
A0A1P8AVY3	GO:0004806	molecular_function	0.3790	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AVY3	GO:0047372	molecular_function	0.3790	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AW53	GO:0005515	molecular_function	0.7647	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AW81	GO:0005515	molecular_function	0.7049	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AW81	GO:0008233	molecular_function	0.7049	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AW81	GO:0008236	molecular_function	0.6893	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AWP1	GO:0003677	molecular_function	0.4760	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AWP1	GO:0005515	molecular_function	0.4760	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AWX3	GO:0042802	molecular_function	0.4270	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AWX3	GO:0004672	molecular_function	0.3980	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AWX3	GO:0033612	molecular_function	0.3980	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AWZ7	GO:0030247	molecular_function	0.3760	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AWZ7	GO:0005515	molecular_function	0.3520	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AX05	GO:0008092	molecular_function	0.4130	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AX05	GO:0061630	molecular_function	0.4130	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AX05	GO:0002020	molecular_function	0.4000	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AXC3	GO:0005515	molecular_function	0.6664	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AXC3	GO:0015232	molecular_function	0.5661	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AXC3	GO:0140211	molecular_function	0.5661	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8AZT2	GO:0004674	molecular_function	0.3230	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B2K0	GO:0003714	molecular_function	0.4030	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B2K0	GO:0005515	molecular_function	0.4030	SS	supported	GOA-timesplit-2023-07-12
A0A1P8B2K0	GO:0042803	molecular_function	0.3890	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B4P1	GO:0003723	molecular_function	0.5483	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B4P1	GO:0005112	molecular_function	0.3837	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B4P1	GO:0017022	molecular_function	0.3837	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B544	GO:0005515	molecular_function	0.6533	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B544	GO:0015194	molecular_function	0.6353	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B6A5	GO:0005515	molecular_function	0.5950	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B6A5	GO:0140376	molecular_function	0.3460	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B6A5	GO:0005225	molecular_function	0.3020	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B6F9	GO:0003883	molecular_function	0.5630	SS	supported	GOA-timesplit-2023-07-12
A0A1P8B6F9	GO:0042802	molecular_function	0.5630	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B7H4	GO:0004090	molecular_function	0.3480	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B7H4	GO:0005515	molecular_function	0.3480	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B7H4	GO:0008753	molecular_function	0.3480	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B8A2	GO:0005515	molecular_function	0.4250	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B8A2	GO:0140376	molecular_function	0.4130	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B8F8	GO:0031176	molecular_function	0.3010	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B952	GO:0004984	molecular_function	0.4559	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B952	GO:0005549	molecular_function	0.4525	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B952	GO:0005515	molecular_function	0.4241	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B9B1	GO:0003723	molecular_function	0.5870	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B9B1	GO:0005515	molecular_function	0.5870	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B9B1	GO:0003682	molecular_function	0.3440	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B9B9	GO:0005515	molecular_function	0.3770	SS	supported	GOA-timesplit-2023-07-12
A0A1P8B9B9	GO:0009011	molecular_function	0.3770	SS	supported	GOA-timesplit-2023-07-12
A0A1P8B9B9	GO:0042802	molecular_function	0.3030	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B9I4	GO:0047372	molecular_function	0.4720	SS	supported	GOA-timesplit-2023-07-12
A0A1P8B9I4	GO:0003846	molecular_function	0.3310	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B9I4	GO:0004622	molecular_function	0.3310	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8B9U3	GO:0009044	molecular_function	0.5500	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BA53	GO:0004843	molecular_function	0.3260	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BA53	GO:0005515	molecular_function	0.3260	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BA72	GO:0005515	molecular_function	0.4010	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BA72	GO:0004674	molecular_function	0.3670	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BA72	GO:0005102	molecular_function	0.3670	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BAU6	GO:0005515	molecular_function	0.5740	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BAU6	GO:0004672	molecular_function	0.4580	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BAU6	GO:0042803	molecular_function	0.4540	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BB01	GO:0035671	molecular_function	0.3660	SS	supported	GOA-timesplit-2023-07-12
A0A1P8BB01	GO:0046983	molecular_function	0.3660	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BBA5	GO:0003824	molecular_function	0.7015	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BBA5	GO:0003723	molecular_function	0.6822	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BBA5	GO:0004386	molecular_function	0.6816	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BBF5	GO:0001002	molecular_function	0.3690	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BBF5	GO:0001003	molecular_function	0.3690	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BBF5	GO:0001006	molecular_function	0.3690	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BCA2	GO:0035091	molecular_function	0.4340	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BCA2	GO:0017124	molecular_function	0.4020	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BCA2	GO:0042169	molecular_function	0.4020	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BDE8	GO:0005515	molecular_function	0.3720	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BDE8	GO:0016709	molecular_function	0.3450	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BDE8	GO:0020037	molecular_function	0.3330	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BDH2	GO:0004565	molecular_function	0.7480	SS	supported	GOA-timesplit-2023-07-12
A0A1P8BDK6	GO:0003729	molecular_function	0.9830	SS	supported	GOA-timesplit-2023-07-12
A0A1P8BDK6	GO:0005515	molecular_function	0.9830	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BDK6	GO:0005525	molecular_function	0.9830	SS	supported	GOA-timesplit-2023-07-12
A0A1P8BEY8	GO:0043022	molecular_function	0.3270	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BEY8	GO:0005515	molecular_function	0.3120	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BEY8	GO:0019843	molecular_function	0.3120	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BG25	GO:0009044	molecular_function	0.5730	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BGL4	GO:0005515	molecular_function	0.6180	SS	supported	GOA-timesplit-2023-07-12
A0A1P8BGL4	GO:0004674	molecular_function	0.4350	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BGL4	GO:0004712	molecular_function	0.4350	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BGN2	GO:0042802	molecular_function	0.4610	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1P8BH65	GO:0070273	molecular_function	0.3060	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1R7T3H1	GO:0004675	molecular_function	0.7090	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1R7T3H1	GO:0005515	molecular_function	0.6870	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A1R7T3H1	GO:0015026	molecular_function	0.4130	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A2R8VJU7	GO:0005525	molecular_function	0.8550	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A2R8VJU7	GO:0042803	molecular_function	0.8550	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A2R8VJU7	GO:0003924	molecular_function	0.4760	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A2R8Y4L2	GO:0019901	molecular_function	0.5080	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A2R8Y4L2	GO:0035925	molecular_function	0.5080	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A2R8Y4L2	GO:0030619	molecular_function	0.4200	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A4D6K4L3	GO:0016409	molecular_function	0.5200	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A4D6K4L3	GO:0019707	molecular_function	0.5000	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A4D6K4L3	GO:0005515	molecular_function	0.4890	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A4P1SA55	GO:0003844	molecular_function	0.4220	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A4P1SA55	GO:0015174	molecular_function	0.3770	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A4P1SA55	GO:0015184	molecular_function	0.3770	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A6I8WFJ4	GO:0031531	molecular_function	0.6450	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A6I8WFJ4	GO:0046982	molecular_function	0.6450	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A6I8WFJ4	GO:0005184	molecular_function	0.4388	SS	unconfirmed	GOA-timesplit-2023-07-12
A0A8I4SYN6	GO:0045296	molecular_function	0.9770	SS	unconfirmed	GOA-timesplit-2023-07-12
