protein_a	protein_b	template_pdb	min_TM	involves_dark
P00015	P62897	6n1o	1.006	0
P14063	P53724	5mrc	1.006	0
Q02554	Q99181	5lsl	1.006	0
Q99N91	Q9CY16	8any	1.006	0
F4INE2	P10797	5iu0	1.005	0
F4INE2	P10798	5iu0	1.005	0
P04449	Q3E792	8bn3	1.005	0
P06899	P62805	7vbm	1.005	0
P0A7T7	P0A7U7	8b0x	1.005	0
P10797	P93292	5iu0	1.005	0
P10798	P93292	5iu0	1.005	0
P12787	P56392	6jy3	1.005	0
P20674	P24311	3ag2	1.005	0
P20674	Q8TF08	3ag2	1.005	0
P24000	Q3E792	8bn3	1.005	0
F4INE2	P10795	5iu0	1.004	0
O23629	P59259	7vbm	1.004	0
P08579	P09661	3jb9	1.004	0
P10795	P93292	5iu0	1.004	0
P14063	P36533	5mrc	1.004	0
P16388	P16390	1qdw	1.004	0
P16388	P63141	1qdw	1.004	0
P16388	Q61923	1qdw	1.004	0
P16389	P17658	1qdw	1.004	0
P16389	P22001	1qdw	1.004	0
P16389	Q09470	1qdw	1.004	0
P16390	P63141	1qdw	1.004	0
P17658	P22001	1qdw	1.004	0
P17658	Q09470	1qdw	1.004	0
P22001	Q09470	1qdw	1.004	0
P36533	P53724	5mrc	1.004	0
P40283	P59259	7vbm	1.004	0
P57784	Q9CQI7	3jb9	1.004	0
P59259	Q9ZUS0	7vbm	1.004	0
P63141	Q61923	1qdw	1.004	0
O55234	Q9R1P1	8fz5	1.003	0
O80646	P38666	7qiz	1.003	0
O80646	Q42347	8b2l	1.003	0
O96860	Q24117	7y8w	1.003	0
P02294	P02309	7vbm	1.003	0
P14063	P36523	5mrc	1.003	0
P16389	P22460	1qdw	1.003	0
P20618	P49721	8ysx	1.003	0
P22001	P22460	1qdw	1.003	0
P36523	P36533	5mrc	1.003	0
P36523	P53724	5mrc	1.003	0
P38666	P42798	7qiz	1.003	0
P38666	Q9LX88	7qiz	1.003	0
P40283	P59169	8guk	1.003	0
P40283	P59226	8guk	1.003	0
P40283	Q9FXI7	8guk	1.003	0
P40283	Q9LR02	8guk	1.003	0
P42798	Q42347	8b2l	1.003	0
P43023	P56391	8h8r	1.003	0
P59259	Q9SI96	7vbm	1.003	0
P63141	Q61762	1qdw	1.003	0
P63167	Q96FJ2	7y8w	1.003	0
P63168	Q9D0M5	7y8w	1.003	0
Q08745	Q3E7Y3	8b2l	1.003	0
Q09470	Q16322	1qdw	1.003	0
Q42347	Q9LX88	8b2l	1.003	0
Q9R1P1	Q9R1P3	8ysx	1.003	0
O09061	Q9R1P1	8ysx	1.002	0
O09061	Q9R1P3	8ysx	1.002	0
O22860	Q8VZ19	9cai	1.002	0
O22860	Q9C8F7	9cai	1.002	0
O22860	Q9LSA3	9cai	1.002	0
P00416	P17665	7dgq	1.002	0
P02294	P61830	7k61	1.002	0
