accession	best_TM_PDB	best_TM_KB	best_TM_any	mean_pLDDT	n_interpro	hypothesis_tier
A0A0B4JD70	0.000	0.000	0.000	70.8	0	-
A0A0B4K6S7	0.000	0.000	0.000	72.5	0	-
A0A0B4K7I1	0.000	0.000	0.000	72.7	0	-
A0A0B4LH65	0.000	0.000	0.000	72.6	0	-
A0A0U1RRA0	0.000	0.000	0.000	72.5	0	-
A0A1B0GV90	0.000	0.000	0.000	79.1	1	-
A0A1B0GVD1	0.000	0.000	0.000	74.0	3	-
A0A1W2PRN1	0.000	0.000	0.000	76.0	2	HIGH
A0A2R8YCJ5	0.000	0.000	0.000	74.4	2	-
A0A5F9ZH02	0.000	0.000	0.000	71.3	0	-
A1Z6F0	0.000	0.000	0.000	93.4	1	-
A1Z8J9	0.000	0.000	0.000	88.4	2	HIGH
A1Z8X1	0.000	0.000	0.000	70.8	1	-
A1ZBU4	0.000	0.000	0.000	78.7	3	HIGH
A6NDK9	0.000	0.000	0.000	73.2	2	HIGH
A6NGB0	0.000	0.000	0.000	79.4	1	-
A8DYH6	0.000	0.000	0.000	72.8	1	LOW
A8DYK8	0.000	0.000	0.000	74.5	0	-
A8DYL9	0.000	0.000	0.000	77.4	0	-
A8JNR8	0.000	0.000	0.000	70.2	0	-
A8JQT2	0.000	0.000	0.000	76.4	1	-
A8MT33	0.000	0.000	0.000	79.0	1	HIGH
C9JXX5	0.000	0.000	0.000	70.1	1	-
E1JGT2	0.000	0.000	0.000	72.6	0	-
E1JGT6	0.000	0.000	0.000	91.1	0	-
E1JI70	0.000	0.000	0.000	71.7	0	-
E1JJS0	0.000	0.000	0.000	78.5	0	-
M9MRL1	0.000	0.000	0.000	79.1	0	-
M9NDT0	0.000	0.000	0.000	73.6	1	-
M9NDU9	0.000	0.000	0.000	75.9	0	-
M9PBV9	0.000	0.000	0.000	76.6	0	-
M9PCB0	0.000	0.000	0.000	76.8	0	-
O13555	0.000	0.000	0.000	71.7	0	-
O96002	0.000	0.000	0.000	85.2	0	-
P0C2S0	0.000	0.000	0.000	70.5	1	-
P0C5L4	0.000	0.000	0.000	84.6	0	-
P0C5N1	0.000	0.000	0.000	76.4	0	-
P0CG33	0.000	0.000	0.000	72.9	2	HIGH
P0DI80	0.000	0.000	0.000	77.5	1	-
P0DQW1	0.000	0.000	0.000	77.5	0	-
P23487	0.000	0.000	0.000	74.6	0	-
P23938	0.000	0.000	0.000	71.0	1	-
P38192	0.000	0.000	0.000	79.1	0	-
P58550	0.000	0.000	0.000	70.3	2	HIGH
P60606	0.000	0.000	0.000	70.4	1	-
P83263	0.000	0.000	0.000	75.1	0	-
P9WEJ4	0.000	0.000	0.000	74.5	1	HIGH
Q12169	0.000	0.000	0.000	78.9	0	-
Q156A1	0.000	0.000	0.000	97.4	0	-
Q27241	0.000	0.000	0.000	91.6	1	-
Q2V2P1	0.000	0.000	0.000	89.1	1	-
Q3E742	0.000	0.000	0.000	74.4	0	-
Q3E765	0.000	0.000	0.000	75.0	0	-
Q3E787	0.000	0.000	0.000	75.1	0	-
Q3E805	0.000	0.000	0.000	71.3	0	-
Q3E809	0.000	0.000	0.000	78.5	1	-
Q3E821	0.000	0.000	0.000	71.5	1	-
Q5STR5	0.000	0.000	0.000	76.3	1	-
Q5TEZ5	0.000	0.000	0.000	83.7	1	-
Q5VZ66	0.000	0.000	0.000	78.9	2	HIGH
Q6IG77	0.000	0.000	0.000	77.2	0	-
Q6IHA3	0.000	0.000	0.000	85.5	0	-
Q6PI97	0.000	0.000	0.000	73.8	1	HIGH
Q6ZP65	0.000	0.000	0.000	75.1	2	LOW
Q7KT25	0.000	0.000	0.000	74.6	0	-
Q7KU18	0.000	0.000	0.000	79.1	1	-
Q7KUG7	0.000	0.000	0.000	71.9	1	-
Q7Z7L8	0.000	0.000	0.000	70.4	1	-
Q86T20	0.000	0.000	0.000	72.0	2	-
Q86TE4	0.000	0.000	0.000	72.6	1	-
Q8I0L0	0.000	0.000	0.000	74.2	0	-
Q8IN20	0.000	0.000	0.000	73.6	0	-
Q8INI2	0.000	0.000	0.000	70.9	0	-
Q8INI3	0.000	0.000	0.000	73.7	0	-
Q8IPL4	0.000	0.000	0.000	74.6	0	-
Q8IR45	0.000	0.000	0.000	77.1	1	-
Q8IRF2	0.000	0.000	0.000	71.2	0	-
Q8IVN3	0.000	0.000	0.000	70.8	1	HIGH
Q8SY72	0.000	0.000	0.000	81.5	1	-
Q8TGT0	0.000	0.000	0.000	70.5	0	-
Q9BZ97	0.000	0.000	0.000	71.6	0	-
Q9H6N6	0.000	0.000	0.000	75.2	2	HIGH
Q9HBI5	0.000	0.000	0.000	86.2	1	-
Q9VA24	0.000	0.000	0.000	73.5	0	-
Q9VAC7	0.000	0.000	0.000	78.5	1	-
Q9VB51	0.000	0.000	0.000	73.7	1	-
Q9VB71	0.000	0.000	0.000	77.4	1	-
Q9VB72	0.000	0.000	0.000	79.7	1	-
Q9VBL8	0.000	0.000	0.000	79.7	1	-
Q9VBR0	0.000	0.000	0.000	70.3	1	-
Q9VD71	0.000	0.000	0.000	86.6	0	-
Q9VFL3	0.000	0.000	0.000	83.0	1	-
Q9VHR7	0.000	0.000	0.000	81.4	2	HIGH
Q9VHT0	0.000	0.000	0.000	83.4	1	-
Q9VI03	0.000	0.000	0.000	74.8	1	-
Q9VLB2	0.000	0.000	0.000	83.6	0	-
Q9VNS7	0.000	0.000	0.000	74.5	1	-
Q9VPA4	0.000	0.000	0.000	73.4	0	-
Q9VPD4	0.000	0.000	0.000	82.4	2	HIGH
Q9VT74	0.000	0.000	0.000	71.5	1	-
Q9VU93	0.000	0.000	0.000	74.7	0	-
Q9VVX6	0.000	0.000	0.000	84.2	2	HIGH
Q9VWF8	0.000	0.000	0.000	83.0	2	-
Q9VZK4	0.000	0.000	0.000	71.9	0	-
Q9VZP9	0.000	0.000	0.000	71.7	1	-
Q9VZV8	0.000	0.000	0.000	80.3	1	HIGH
Q9W100	0.000	0.000	0.000	82.4	0	-
Q9W164	0.000	0.000	0.000	71.4	0	-
Q9W212	0.000	0.000	0.000	76.9	2	HIGH
Q9W4E4	0.000	0.000	0.000	76.9	2	HIGH
Q9W513	0.000	0.000	0.000	81.8	1	-
Q9W530	0.000	0.000	0.000	76.3	0	-
Q9ZZW2	0.000	0.000	0.000	70.2	0	-
X2J761	0.000	0.000	0.000	70.1	0	-
X2JCP1	0.000	0.000	0.000	72.5	0	-
X2JCX4	0.000	0.000	0.000	83.4	0	-
X2JGJ5	0.000	0.000	0.000	70.5	0	-
X2JJ74	0.000	0.000	0.000	71.2	0	-
Q9VFF6	0.123	0.000	0.123	78.0	1	HIGH
Q7KSU5	0.152	0.000	0.152	80.4	0	-
Q9VSF5	0.156	0.000	0.156	80.9	0	-
P36085	0.158	0.000	0.158	70.4	3	-
Q9VG15	0.162	0.161	0.162	73.5	1	-
Q7KT15	0.179	0.000	0.179	70.4	0	-
Q9VJE3	0.179	0.000	0.179	80.7	7	HIGH
A0A0B4K6B9	0.193	0.000	0.193	71.5	1	-
Q9VCJ6	0.195	0.141	0.195	73.8	2	HIGH
Q86BB7	0.206	0.000	0.206	70.3	0	-
Q9VME1	0.210	0.000	0.210	75.3	0	-
Q9W322	0.210	0.000	0.210	83.6	3	HIGH
Q9W4N1	0.211	0.000	0.211	70.5	0	-
B7YZH2	0.214	0.000	0.214	84.2	3	HIGH
Q9VJD0	0.223	0.000	0.223	79.7	1	HIGH
A0PJX8	0.225	0.000	0.225	77.9	1	-
Q9VIJ3	0.228	0.000	0.228	74.5	1	LOW
Q9VPM3	0.233	0.000	0.233	73.2	0	-
Q03236	0.235	0.000	0.235	75.7	1	-
Q9VHN5	0.240	0.000	0.240	86.8	1	-
Q9VPZ4	0.242	0.000	0.242	86.2	3	HIGH
Q9VMN0	0.248	0.000	0.248	78.3	1	-
Q9U1H8	0.255	0.000	0.255	91.6	2	HIGH
Q8IQJ7	0.264	0.000	0.264	90.4	1	HIGH
A1Z9W2	0.278	0.000	0.278	89.9	1	-
A0A1Z1CH18	0.280	0.000	0.280	79.6	2	HIGH
P53584	0.281	0.000	0.281	85.6	1	-
E2RYF7	0.289	0.000	0.289	70.1	1	-
Q9VW94	0.294	0.228	0.294	81.4	2	HIGH
Q03787	0.295	0.000	0.295	78.7	2	-
A0A0B4KES8	0.297	0.000	0.297	74.7	0	-
Q8IMF1	0.297	0.000	0.297	79.1	1	HIGH
Q9VZX8	0.297	0.000	0.297	72.7	1	-
Q8IQP0	0.301	0.000	0.301	77.7	1	-
