accession	symbol	ensembl	druggability	disease_assoc_count	top_disease_score	top_disease	top_MF_term	term_name	tier
A6NNN8	SLC38A8	ENSG00000166558	0.55	1283	0.814	Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome	GO:0015171	amino acid transmembrane transporter activity	HIGH
Q8TDI8	TMC1	ENSG00000165091	1.00	732	0.746	autosomal recessive nonsyndromic hearing loss 7	-	-	-
Q8N806	UBR7	ENSG00000012963	0.66	529	0.678	Li-Campeau syndrome	GO:0061630	ubiquitin protein ligase activity	HIGH
F5H094	SLCO1B3	ENSG00000111700	0.87	621	0.665	Rotor syndrome	GO:0005515	protein binding	HIGH
Q8N6M6	AOPEP	ENSG00000148120	0.97	457	0.653	dystonia 31	GO:0008270	zinc ion binding	HIGH
Q96MI9	AGBL1	ENSG00000273540	0.77	128	0.615	Fuchs endothelial corneal dystrophy	GO:0004181	metallocarboxypeptidase activity	HIGH
Q8IZS8	CACNA2D3	ENSG00000157445	0.71	352	0.612	epilepsy	GO:0005245	voltage-gated calcium channel activity	MEDIUM
Q5T6L9	ERMARD	ENSG00000130023	0.68	32	0.605	nodular neuronal heterotopia	-	-	-
Q9H091	ZMYND15	ENSG00000141497	0.87	38	0.599	spermatogenic failure 14	GO:0042826	histone deacetylase binding	HIGH
Q5T7M9	DIPK1A	ENSG00000154511	0.91	82	0.572	Blackfan-Diamond anemia	-	-	-
Q8N819	PPM1N	ENSG00000213889	0.68	40	0.531	Spastic paraplegia	GO:0000287	magnesium ion binding	HIGH
Q0VDG4	SCRN3	ENSG00000144306	0.63	417	0.526	neurodegenerative disease	GO:0016805	dipeptidase activity	HIGH
Q9NVA4	TMEM184C	ENSG00000164168	0.90	60	0.522	Neurodevelopmental abnormality	-	-	-
Q9Y5H3	PCDHGA10	ENSG00000253846	0.84	29	0.519	neurodevelopmental disorder with poor growth and skeletal anomalies	GO:0005509	calcium ion binding	HIGH
O60330	PCDHGA12	ENSG00000253159	0.77	53	0.519	neurodevelopmental disorder with poor growth and skeletal anomalies	GO:0005509	calcium ion binding	HIGH
