accession	branch	go_term	score	tier	streams	structure_only
A0A075B5J9	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5J9	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5K3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5K3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5L3	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5L3	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5L7	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5L7	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5L8	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5L8	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5M1	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5M1	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5M3	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5M3	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5M7	molecular_function	GO:0005488	0.7761	HIGH	dom	0
A0A075B5M7	molecular_function	GO:0005515	0.7642	HIGH	dom	0
A0A075B5N3	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5N3	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5N8	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5N8	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5P1	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5P1	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5P8	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5P8	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5Q0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5Q0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5Q2	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5Q2	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5Q5	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5Q5	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5Q7	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5Q7	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5R0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5R0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5R2	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5R2	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5S1	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5S1	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5S3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5S3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5S9	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5S9	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5T0	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B5T0	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B5T1	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5T1	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5T4	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5T4	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5T7	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5T7	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5U0	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5U0	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5U9	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5U9	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5V6	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5V6	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5V7	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5V7	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5W3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5W3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5W4	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5W4	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5X2	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5X2	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5X5	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5X5	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5X6	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5X6	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5Y3	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5Y3	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5Y4	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5Y4	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B5Y6	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B5Y6	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B603	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B603	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B618	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B618	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B619	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B619	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B624	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B624	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B631	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B631	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B633	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B633	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B634	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B634	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B638	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B638	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B642	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B642	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B650	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B650	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B651	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B651	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B654	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B654	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B658	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B658	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B661	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B661	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B666	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B666	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B674	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B674	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B677	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B677	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B680	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B680	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B695	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B695	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B696	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B696	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B697	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B697	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6A7	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6A7	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6C9	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6C9	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6D1	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6D1	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6H7	molecular_function	GO:0042802	0.6810	MEDIUM	seq+struct+dom	0
A0A075B6I0	molecular_function	GO:0005515	0.8425	HIGH	seq+struct+dom	0
A0A075B6I0	molecular_function	GO:0042802	0.5163	MEDIUM	seq+struct+dom	0
A0A075B6I4	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6I4	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6J1	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B6J1	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B6J2	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B6J2	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B6K2	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B6K2	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B6K4	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B6K4	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B6K5	molecular_function	GO:0042802	0.4660	MEDIUM	seq+struct+dom	0
A0A075B6K6	molecular_function	GO:0005515	0.8252	HIGH	seq+struct+dom	0
A0A075B6K6	molecular_function	GO:0042802	0.4632	MEDIUM	seq+struct+dom	0
A0A075B6L2	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A075B6L2	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A075B6L2	molecular_function	GO:0036094	0.3333	LOW	dom	0
A0A075B6L6	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6L6	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6N2	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A075B6N2	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A075B6N4	molecular_function	GO:0005488	0.7726	HIGH	seq+struct+dom	0
A0A075B6N4	molecular_function	GO:0005515	0.7609	HIGH	seq+struct+dom	0
A0A075B6N4	molecular_function	GO:0042802	0.3554	LOW	seq+struct+dom	0
A0A075B6Q5	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6Q5	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6R9	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6R9	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6S2	molecular_function	GO:0005488	0.7223	HIGH	dom	0
A0A075B6S2	molecular_function	GO:0005515	0.7121	HIGH	dom	0
A0A075B6S9	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6S9	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6T7	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6T7	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6U4	molecular_function	GO:0005488	0.6880	MEDIUM	dom	0
A0A075B6U4	molecular_function	GO:0005515	0.6720	MEDIUM	dom	0
A0A075B6X5	molecular_function	GO:0005488	0.6880	MEDIUM	struct+dom	0
A0A075B6X5	molecular_function	GO:0005515	0.6720	MEDIUM	struct+dom	0
A0A075B734	molecular_function	GO:0015267	1.0000	HIGH	dom	0
A0A075B734	molecular_function	GO:0015250	0.8750	HIGH	dom	0
