accession	length	models	mean_rmsf	max_rmsf	call
A0A0B4K7B8	50	8	1.08	2.78	rigid
A8DY46	50	8	2.0	6.68	rigid
A8DYL9	50	8	0.97	2.79	rigid
B3H6I0	50	8	0.36	0.96	rigid
M9NEV5	50	8	1.04	2.61	rigid
Q8TGS2	50	8	0.76	1.84	rigid
