accession	family	scan_scope	status	missing_motifs	catalytic_CA_distance_A	experimental_catalytic_GO	known_pseudo
A0A0U1RPR8	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
A0A178VBH8	kinase	domain	pseudo-candidate	HRD	-	no	-
A0A178VE74	kinase	domain	pseudo-candidate	DFG	-	no	-
A0A1I9LMD5	kinase	domain	pseudo-candidate	HRD	-	no	-
A0A1I9LQ53	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
A0A1P8BA72	kinase	domain	pseudo-candidate	HRD	-	no	-
A1Z9X0	kinase	domain	pseudo-candidate	HRD	-	yes	-
B9DFG5	kinase	domain	pseudo-candidate	DFG	-	yes	-
C0LGE4	kinase	domain	pseudo-candidate	HRD	-	no	-
C0LGH8	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
C0LGI5	kinase	domain	pseudo-candidate	HRD	-	no	-
C0LGJ9	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
C0LGK4	kinase	domain	pseudo-candidate	DFG	-	no	-
C0LGP4	kinase	domain	pseudo-candidate	HRD	-	no	-
C0LGP9	kinase	domain	pseudo-candidate	HRD	-	no	-
C0LGQ9	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
C0LGR9	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
C0LGS3	kinase	domain	pseudo-candidate	HRD	-	no	-
C0LGT6	kinase	domain	pseudo-candidate	HRD	-	yes	-
C0LGU0	kinase	domain	pseudo-candidate	HRD	-	no	-
D7SFH9	kinase	domain	pseudo-candidate	HRD	-	no	-
F4HSB4	kinase	domain	pseudo-candidate	DFG	-	no	-
F4HU55	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
F4HWU0	kinase	domain	pseudo-candidate	DFG	-	yes	-
F4HX16	kinase	domain	pseudo-candidate	HRD	-	no	-
F4HYK7	kinase	domain	pseudo-candidate	HRD	-	no	-
F4I313	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
F4I3M3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
F4I4F2	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
F4I5D4	kinase	domain	pseudo-candidate	HRD	-	no	-
F4I7Y4	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
F4II29	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
F4IS56	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
F4IVP3	kinase	domain	pseudo-candidate	HRD;DFG	-	no	-
F4J0D2	kinase	domain	pseudo-candidate	HRD	-	no	-
F4J3H7	kinase	domain	pseudo-candidate	DFG	-	no	-
F4J982	kinase	domain	pseudo-candidate	DFG	-	yes	-
F4JEQ2	kinase	domain	pseudo-candidate	HRD	-	no	-
F4JPX3	kinase	domain	pseudo-candidate	HRD	-	no	-
F4JQT1	kinase	domain	pseudo-candidate	HRD	-	no	-
F4JVS7	kinase	domain	pseudo-candidate	HRD;DFG	-	yes	-
F4JY37	kinase	domain	pseudo-candidate	HRD	-	no	-
F4JZW1	kinase	domain	pseudo-candidate	HRD	-	yes	-
F4KA50	kinase	domain	pseudo-candidate	HRD	-	no	-
O00141	kinase	domain	pseudo-candidate	HRD	-	yes	-
O04567	kinase	domain	pseudo-candidate	HRD	-	no	-
