representative	size	n_dark	top_interpro	interpro_purity	n_annotated	disjoint_MF_pairs
Q8NGY7	193	141	IPR017452	0.99	22	16
Q9P296	157	19	IPR017452	0.82	125	3
A0A087WT02	151	107	IPR036179	1.00	2	0
A8JRA0	109	59	IPR009003	1.00	40	0
Q8TD20	96	27	IPR036259	0.94	58	0
P32004	91	15	IPR020894	0.45	46	7
Q8NBW4	75	19	IPR013057	0.26	46	22
Q9VHP4	73	30	IPR001128	1.00	36	0
Q8IMQ6	72	31	IPR004117	0.48	30	0
Q00532	70	4	IPR011009	1.00	66	4
Q9NSP4	67	5	IPR027417	1.00	57	9
Q92674	67	2	IPR016024	0.40	50	6
Q9VUP8	64	9	IPR015943	0.86	45	0
Q2M3D2	64	10	IPR036390	0.20	43	0
P41279	63	2	IPR011009	0.54	55	14
P43615	59	7	IPR027417	0.98	47	11
A1Z9M0	57	10	IPR023395	1.00	41	5
Q96SL1	57	19	IPR036259	0.86	33	0
Q96QV1	56	8	IPR015915	0.43	40	0
Q8TBB5	52	10	IPR013783	0.46	37	20
Q6ZUA9	46	9	IPR016024	0.54	29	0
Q9VAR2	44	34	IPR010512	0.80	6	0
Q6P3V2	43	21	IPR036236	1.00	18	0
Q9VDK7	43	10	IPR011990	0.55	23	0
Q9VLJ7	41	27	IPR002213	0.59	11	10
Q6NP91	37	10	IPR000175	0.43	22	5
Q9NRW7	37	22	IPR052192	0.78	10	14
P38699	36	4	IPR001138	0.22	28	25
Q05996	34	5	IPR015943	0.53	27	10
Q9VG46	34	11	IPR029058	1.00	20	8
P39518	33	10	IPR000873	1.00	18	0
Q53EL6	33	2	IPR000536	0.45	28	11
Q8NB14	32	0	IPR016024	0.62	25	9
Q9HCN3	32	1	IPR011009	0.72	29	12
Q8WXS4	32	6	IPR004031	0.75	26	10
Q8IV63	31	1	IPR011009	1.00	28	0
P19658	31	5	IPR016024	0.29	20	0
Q5JXA9	31	4	IPR013783	0.97	25	8
A0A1W2PR48	31	5	IPR036322	0.74	18	19
P07766	31	4	IPR013783	0.84	25	0
Q9VSU6	31	10	IPR036291	1.00	19	0
Q9VV41	30	1	IPR043129	1.00	24	16
P20484	30	5	IPR015943	0.60	20	0
P62152	29	8	IPR002048	0.97	18	20
Q15849	29	2	IPR008250	0.93	23	0
P33299	28	4	IPR027417	1.00	20	8
Q9VNH1	28	7	IPR029063	0.96	21	4
Q9VR25	28	4	IPR013783	0.93	19	0
Q9VEA2	28	1	IPR000547	0.32	20	0
Q9VK91	28	3	IPR017452	0.50	20	3
C0HL64	27	20	IPR000618	1.00	6	0
Q9VLV3	27	4	IPR042185	1.00	19	3
Q9VKJ8	27	8	IPR017853	1.00	18	16
P0CG30	26	4	IPR036282	1.00	22	0
Q08AI6	25	3	IPR037185	0.56	14	6
Q969K7	25	8	IPR008253	0.35	14	0
P21549	25	3	IPR015421	1.00	19	0
A1Z8L7	24	8	IPR016186	1.00	15	6
M9PF61	24	4	IPR023210	0.62	20	9
Q9NPQ8	23	1	IPR016024	0.78	18	10
P27701	23	6	IPR018499	0.96	15	0
Q9NRG7	23	6	IPR036291	1.00	12	10
Q9VIG6	23	3	IPR014729	0.22	18	5
Q9VT57	23	2	IPR000719	1.00	20	0
A8DY65	23	3	IPR015421	0.70	20	9
O60547	23	5	IPR036291	0.74	17	0
Q6NXP6	22	6	IPR017853	0.41	15	10
Q9H8M1	22	13	IPR038606	0.55	5	0
Q9BUU2	21	5	IPR029063	0.86	16	16
Q8NHK3	21	5	IPR036179	1.00	14	0
Q12059	21	1	IPR029044	0.48	19	0
