complex	dark	combined_len	interface_residues	pathogenic_at_iface	benign_at_iface	outcome
P62273__P62891	P62273	107	0	0/3	0/0	no
O15239__O75438	O15239	128	22	2/2	0/2	HIT
O14957__P14854	P14854	142	28	0/2	0/0	no
O14957__Q02221	Q02221	153	37	1/1	0/0	HIT
O14957__O43676	O43676	154	15	0/1	0/0	no
O43678__O75438	O43678	157	24	2/2	0/1	HIT
P18077__P62891	P18077	161	11	0/3	0/2	no
P53803__Q9Y2Y1	Q9Y2Y1	166	18	0/2	0/0	no
P62854__P62891	P62854	166	9	0/7	0/0	no
O14957__P14927	P14927	167	21	0/2	0/0	no
P62304__P62308	P62304	168	28	0/2	0/0	no
P60866__P62891	P60866	170	19	2/2	0/3	HIT
P42766__P62891	P42766	174	10	0/1	0/2	no
O14957__O95298	O95298	175	27	1/1	0/0	HIT
P62308__Q9UK45	Q9UK45	179	38	0/2	0/0	no
O75380__O75438	O75380	182	15	1/5	0/0	HIT
P62847__P62891	P62847	184	0	0/4	0/1	no
O75438__P56556	P56556	186	24	0/1	0/3	no
P08708__P62891	P08708	186	28	0/2	0/0	no
P62308__Q7RTV0	Q7RTV0	186	16	0/1	0/0	no
P05496__P56381	P56381	187	24	1/1	1/1	HIT
P0DPB6__P53803	P0DPB6	191	13	0/3	0/0	no
P62875__Q15543	Q15543	191	42	1/2	0/0	HIT
P55769__Q9NPE3	Q9NPE3	192	15	0/1	0/0	no
O60783__O75394	O60783	193	1	0/1	0/2	no
P48201__P56381	P48201	193	26	0/3	0/3	no
Q53S33__Q9H3K6	Q53S33	193	16	0/3	0/0	no
P62266__P62891	P62266	194	9	1/2	0/0	HIT
P39019__P62891	P39019	196	15	1/21	0/1	HIT
O75438__Q86Y39	Q86Y39	199	34	0/1	0/0	no
P47813__P62273	P47813	200	25	0/1	0/0	no
O14957__Q9UI09	Q9UI09	201	21	0/2	0/3	no
P62805__Q99525	P62805	201	45	9/14	0/0	HIT
O75438__Q9P0J0	Q9P0J0	202	18	1/3	0/1	HIT
P62891__P63241	P63241	205	29	2/7	0/0	HIT
O14957__P20674	P20674	206	23	1/2	0/2	HIT
O14957__Q9NX14	Q9NX14	209	30	1/2	2/4	HIT
O15116__P62308	O15116	209	30	0/1	0/0	no
P46778__P62891	P46778	211	2	0/1	0/0	no
P46783__P62891	P46783	216	28	0/2	0/0	no
P30049__P56381	P30049	219	34	1/2	1/4	HIT
P62857__Q9NX24	Q9NX24	222	22	0/2	1/2	no
O75394__Q8N5N7	Q8N5N7	223	16	0/1	0/4	no
O14957__P13073	P13073	225	28	0/1	1/2	no
O14957__O96000	O96000	228	25	0/1	0/5	no
O14957__P51970	P51970	228	28	1/2	0/1	HIT
O43181__O75438	O43181	233	16	0/1	0/3	no
P0C0S8__P62805	P0C0S8	233	50	0/2	0/0	no
P68431__Q99525	P68431	234	52	1/1	0/0	HIT
P84243__Q99525	P84243	234	50	13/37	0/1	HIT
O14957__Q9Y6M9	Q9Y6M9	235	29	0/1	1/3	no
O15342__P27449	P27449	236	40	1/13	0/0	HIT
O75394__P82663	P82663	238	24	0/1	0/0	no
P62891__Q07020	Q07020	239	22	0/1	0/1	no
P62308__Q9Y3C6	Q9Y3C6	242	14	0/6	0/0	no
Q14657__Q9BXV9	Q14657	243	31	0/2	4/7	no
Q86SX6__Q9H3K6	Q86SX6	243	12	2/6	0/2	HIT
O75438__O95169	O95169	244	36	1/3	0/6	HIT
P01215__P01225	P01225	245	52	1/2	0/1	HIT
P62081__P62891	P62081	245	12	0/1	0/0	no
O14561__Q9HD34	Q9HD34	247	18	0/1	1/1	no
O75394__Q9Y2Q9	Q9Y2Q9	252	42	1/1	1/8	HIT
P01215__P01222	P01222	254	63	1/1	0/3	HIT
P61313__P62891	P61313	255	13	0/3	0/1	no
O94817__O95166	O94817	257	20	1/2	0/1	HIT
P01215__P01229	P01229	257	56	2/2	3/13	HIT
Q13405__Q9BQ48	Q13405	258	0	0/3	0/1	no
Q9BQ48__Q9H3J6	Q9H3J6	258	14	0/1	0/1	no
Q9H1K1__Q9HD34	Q9H1K1	258	17	0/1	0/7	no
P26373__P62891	P26373	262	0	0/4	0/2	no
P27635__P62891	P27635	265	18	1/9	0/4	HIT
P62891__Q96L21	Q96L21	265	22	0/1	0/1	no
O00217__O75438	O00217	268	33	4/13	0/0	HIT
P07737__Q8NHR9	P07737	269	19	1/4	0/1	HIT
O75251__O75438	O75251	271	20	0/5	0/3	no
P49773__P49789	P49773	273	39	4/11	1/1	HIT
O95178__Q8N183	Q8N183	274	16	0/1	0/1	no
P82921__Q9Y3D9	Q9Y3D9	277	17	0/1	0/5	no
P0DI81__Q9UL33	P0DI81	280	22	0/3	0/3	no
O75394__P82930	P82930	283	20	0/2	1/8	no
